sampleID	snv_indel	snv_indel_20
BT-474	1661	1384
CAL-120	1000	779
CAL-148	1367	1049
CAL-51	1453	1170
CAL-85-1	1214	885
COLO-824	1341	1001
DU-4475	1031	701
EFM-19	960	682
EFM-192A	1373	1056
EFM-192B	1059	792
EFM-192C	908	657
ETCC-006	1012	757
ETCC-007	1130	841
EVSA-T	1223	967
HCC-1143	1194	900
HCC-1599	1057	753
HCC-1937	1094	760
HDQ-P1	1220	972
HS-578T	1411	1070
IPH-926	1137	835
JIMT-1	966	745
KPL-1	1122	837
MCF-7	1057	808
MDA-MB-231	1163	865
MDA-MB-453	1427	1153
MDA-MB-468	1514	1141
MFM-223	1090	762
SK-BR-3	1012	739
T-47D	886	644
